Product Name,Category,SKU,Filling,Weight,Customer Price,,,
60X40CM,INSERTS,JB268,80% Down 20% Feather,Extra Firm Fill,65.2,,,
60X60CM,INSERTS,JB269,100% Feather,Normal,$15.00,,,
60X60CM,INSERTS,JB270,100% Feather,Extra Firm Fill,15.6,,,
60X60CM,INSERTS,JB271,Duck Feather - Foam,Normal,$17.25,,,
60X60CM,INSERTS,JB272,Duck Feather - Foam,Firm Fill,17.85,,,
60X60CM,INSERTS,JB273,Duck Feather - Foam,Extra Firm Fill,18.45,,,
60X60CM,INSERTS,JB274,Duck Feather - Fibre,Normal,$17.25,,,
60X60CM,INSERTS,JB275,Duck Feather - Fibre,Firm Fill,17.85,,,
60X60CM,INSERTS,JB276,Duck Feather - Fibre,Extra Firm Fill,18.45,,,
60X60CM,INSERTS,JB277,100% Polyester,Normal,$17.25,,,
60X60CM,INSERTS,JB278,100% Polyester,Firm Fill,17.85,,,
60X60CM,INSERTS,JB279,100% Polyester,Extra Firm Fill,18.45,,,
60X60CM,INSERTS,JB280,30% Down 70% Feather,Normal,$39.00,,,
60X60CM,INSERTS,JB281,30% Down 70% Feather,Firm Fill,41.6,,,
60X60CM,INSERTS,JB282,30% Down 70% Feather,Extra Firm Fill,44.2,,,
60X60CM,INSERTS,JB283,50% Down 50% Feather,Normal,$64.40,,,
60X60CM,INSERTS,JB284,50% Down 50% Feather,Firm Fill,67,,,
60X60CM,INSERTS,JB285,50% Down 50% Feather,Extra Firm Fill,69.6,,,
60X60CM,INSERTS,JB286,80% Down 20% Feather,Normal,$79.00,,,
60X60CM,INSERTS,JB287,80% Down 20% Feather,Firm Fill,81.6,,,
60X60CM,INSERTS,JB288,80% Down 20% Feather,Extra Firm Fill,84.2,,,
65X40CM,INSERTS,JB289,100% Feather,Normal,$16.50,,,
65X40CM,INSERTS,JB290,100% Feather,Extra Firm Fill,17.1,,,
65X40CM,INSERTS,JB291,Duck Feather - Foam,Normal,$18.50,,,
65X40CM,INSERTS,JB292,Duck Feather - Foam,Firm Fill,19.1,,,
65X40CM,INSERTS,JB293,Duck Feather - Foam,Extra Firm Fill,19.7,,,
65X40CM,INSERTS,JB294,Duck Feather - Fibre,Normal,$18.50,,,
65X40CM,INSERTS,JB295,Duck Feather - Fibre,Firm Fill,19.1,,,
65X40CM,INSERTS,JB296,Duck Feather - Fibre,Extra Firm Fill,19.7,,,
65X40CM,INSERTS,JB297,100% Polyester,Normal,$18.50,,,
65X40CM,INSERTS,JB298,100% Polyester,Firm Fill,19.1,,,
65X40CM,INSERTS,JB299,100% Polyester,Extra Firm Fill,19.7,,,
65X40CM,INSERTS,JB300,30% Down 70% Feather,Normal,$31.50,,,
65X40CM,INSERTS,JB301,30% Down 70% Feather,Firm Fill,34.1,,,
65X40CM,INSERTS,JB302,30% Down 70% Feather,Extra Firm Fill,36.7,,,
65X40CM,INSERTS,JB303,50% Down 50% Feather,Normal,$50.00,,,
65X40CM,INSERTS,JB304,50% Down 50% Feather,Firm Fill,52.6,,,
65X40CM,INSERTS,JB305,50% Down 50% Feather,Extra Firm Fill,55.2,,,
