Product Name,SKU,Category,Filling,Weight, Customer Price 
60X60CM ,INSE-013,INSERTS,Duck Feather - Foam,Extra Firm Fill,$18.45 
60X60CM ,INSE-013,INSERTS,Duck Feather - Fibre,Normal,$17.25 
60X60CM ,INSE-013,INSERTS,Duck Feather - Fibre,Firm Fill,$17.85 
60X60CM ,INSE-013,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$18.45 
60X60CM ,INSE-013,INSERTS,100% Polyester,Normal,$17.25 
60X60CM ,INSE-013,INSERTS,100% Polyester,Firm Fill,$17.85 
60X60CM ,INSE-013,INSERTS,100% Polyester,Extra Firm Fill,$18.45 
60X60CM ,INSE-013,INSERTS,30% Down 70% Feather,Normal,$39.00 
60X60CM ,INSE-013,INSERTS,30% Down 70% Feather,Firm Fill,$41.60 
60X60CM ,INSE-013,INSERTS,30% Down 70% Feather,Extra Firm Fill,$44.20 
60X60CM ,INSE-013,INSERTS,50% Down 50% Feather,Normal,$64.40 
60X60CM ,INSE-013,INSERTS,50% Down 50% Feather,Firm Fill,$67.00 
