Product	Category	SKU	Filling	Weight	Price
55X55CM	INSERTS	POULOS259	100% Polyester	Extra Firm Fill	$16.20
55X55CM	INSERTS	POULOS260	100% Polyester	Firm Fill	$15.60
55X55CM	INSERTS	POULOS261	100% Polyester	Normal	$15.00
55X55CM	INSERTS	POULOS262	30% Down 70% Feather	Extra Firm Fill	$35.45
55X55CM	INSERTS	POULOS263	30% Down 70% Feather	Firm Fill	$32.85
55X55CM	INSERTS	POULOS264	30% Down 70% Feather	Normal	$30.25
55X55CM	INSERTS	POULOS265	50% Down 50% Feather	Extra Firm Fill	$50.30
55X55CM	INSERTS	POULOS266	50% Down 50% Feather	Firm Fill	$47.70
55X55CM	INSERTS	POULOS267	50% Down 50% Feather	Normal	$45.10
55X55CM	INSERTS	POULOS268	80% Down 20% Feather	Extra Firm Fill	$70.20
55X55CM	INSERTS	POULOS269	80% Down 20% Feather	Firm Fill	$67.60
55X55CM	INSERTS	POULOS270	80% Down 20% Feather	Normal	$65.00
55X55CM	INSERTS	POULOS271	Duck Feather - Fibre	Extra Firm Fill	$16.20
55X55CM	INSERTS	POULOS272	Duck Feather - Fibre	Firm Fill	$15.60
55X55CM	INSERTS	POULOS273	Duck Feather - Fibre	Normal	$15.00
55X55CM	INSERTS	POULOS274	Duck Feather - Foam	Extra Firm Fill	$16.20
55X55CM	INSERTS	POULOS275	Duck Feather - Foam	Firm Fill	$15.60
55X55CM	INSERTS	POULOS276	Duck Feather - Foam	Normal	$15.00
60X40CM	INSERTS	POULOS277	100% Feather	Extra Firm Fill	$16.70
60X40CM	INSERTS	POULOS278	100% Feather	Firm Fill	$16.10
60X40CM	INSERTS	POULOS279	100% Feather	Normal	$15.50
60X40CM	INSERTS	POULOS280	100% Polyester	Extra Firm Fill	$18.70
60X40CM	INSERTS	POULOS281	100% Polyester	Firm Fill	$18.10
60X40CM	INSERTS	POULOS282	100% Polyester	Normal	$17.50
60X40CM	INSERTS	POULOS283	30% Down 70% Feather	Extra Firm Fill	$35.70
60X40CM	INSERTS	POULOS284	30% Down 70% Feather	Firm Fill	$33.10
60X40CM	INSERTS	POULOS285	30% Down 70% Feather	Normal	$30.50
60X40CM	INSERTS	POULOS286	50% Down 50% Feather	Extra Firm Fill	$54.20
60X40CM	INSERTS	POULOS287	50% Down 50% Feather	Firm Fill	$51.60
60X40CM	INSERTS	POULOS288	50% Down 50% Feather	Normal	$49.00
60X40CM	INSERTS	POULOS289	80% Down 20% Feather	Extra Firm Fill	$65.20
60X40CM	INSERTS	POULOS290	80% Down 20% Feather	Firm Fill	$62.60
60X40CM	INSERTS	POULOS291	80% Down 20% Feather	Normal	$60.00
60X40CM	INSERTS	POULOS292	Duck Feather - Fibre	Extra Firm Fill	$18.70
60X40CM	INSERTS	POULOS293	Duck Feather - Fibre	Firm Fill	$18.10
60X40CM	INSERTS	POULOS294	Duck Feather - Fibre	Normal	$17.50
60X40CM	INSERTS	POULOS295	Duck Feather - Foam	Extra Firm Fill	$18.70
60X40CM	INSERTS	POULOS296	Duck Feather - Foam	Firm Fill	$18.10
60X40CM	INSERTS	POULOS297	Duck Feather - Foam	Normal	$17.50
60X60CM	INSERTS	POULOS298	100% Feather	Extra Firm Fill	$16.20
60X60CM	INSERTS	POULOS299	100% Feather	Firm Fill	$15.60
60X60CM	INSERTS	POULOS300	100% Feather	Normal	$15.00
60X60CM	INSERTS	POULOS301	100% Polyester	Extra Firm Fill	$18.45
60X60CM	INSERTS	POULOS302	100% Polyester	Firm Fill	$17.85
60X60CM	INSERTS	POULOS303	100% Polyester	Normal	$17.25
60X60CM	INSERTS	POULOS304	30% Down 70% Feather	Extra Firm Fill	$44.20
60X60CM	INSERTS	POULOS305	30% Down 70% Feather	Firm Fill	$41.60
60X60CM	INSERTS	POULOS306	30% Down 70% Feather	Normal	$39.00
60X60CM	INSERTS	POULOS307	50% Down 50% Feather	Extra Firm Fill	$69.60
60X60CM	INSERTS	POULOS308	50% Down 50% Feather	Firm Fill	$67.00
60X60CM	INSERTS	POULOS309	50% Down 50% Feather	Normal	$64.40
60X60CM	INSERTS	POULOS310	80% Down 20% Feather	Extra Firm Fill	$84.20
60X60CM	INSERTS	POULOS311	80% Down 20% Feather	Firm Fill	$81.60
60X60CM	INSERTS	POULOS312	80% Down 20% Feather	Normal	$79.00
60X60CM	INSERTS	POULOS313	Duck Feather - Fibre	Extra Firm Fill	$18.45
60X60CM	INSERTS	POULOS314	Duck Feather - Fibre	Firm Fill	$17.85
60X60CM	INSERTS	POULOS315	Duck Feather - Fibre	Normal	$17.25
60X60CM	INSERTS	POULOS316	Duck Feather - Foam	Extra Firm Fill	$18.45
60X60CM	INSERTS	POULOS317	Duck Feather - Foam	Firm Fill	$17.85
60X60CM	INSERTS	POULOS318	Duck Feather - Foam	Normal	$17.25
65X40CM	INSERTS	POULOS319	100% Feather	Extra Firm Fill	$17.70
65X40CM	INSERTS	POULOS320	100% Feather	Firm Fill	$17.10
65X40CM	INSERTS	POULOS321	100% Feather	Normal	$16.50
65X40CM	INSERTS	POULOS322	100% Polyester	Extra Firm Fill	$19.70
65X40CM	INSERTS	POULOS323	100% Polyester	Firm Fill	$19.10
65X40CM	INSERTS	POULOS324	100% Polyester	Normal	$18.50
65X40CM	INSERTS	POULOS325	30% Down 70% Feather	Extra Firm Fill	$36.70
65X40CM	INSERTS	POULOS326	30% Down 70% Feather	Firm Fill	$34.10
65X40CM	INSERTS	POULOS327	30% Down 70% Feather	Normal	$31.50
65X40CM	INSERTS	POULOS328	50% Down 50% Feather	Extra Firm Fill	$55.20
65X40CM	INSERTS	POULOS329	50% Down 50% Feather	Firm Fill	$52.60
65X40CM	INSERTS	POULOS330	50% Down 50% Feather	Normal	$50.00
65X40CM	INSERTS	POULOS331	80% Down 20% Feather	Extra Firm Fill	$66.20
65X40CM	INSERTS	POULOS332	80% Down 20% Feather	Firm Fill	$63.60
65X40CM	INSERTS	POULOS333	80% Down 20% Feather	Normal	$61.00
65X40CM	INSERTS	POULOS334	Duck Feather - Fibre	Extra Firm Fill	$19.70
