Product Name,Category,Sku,Filling,Weight,PRICES,Unnamed: 6
45 x 30cm duck feather,CUSTOM INSERTS,CUSTINNERS - 41,Duck Feather,Extra Firm Fill,14.40,
45 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 42,Duck Feather,Normal,13.20,
45 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 42,Duck Feather,Firm Fill,13.80,
45 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 42,Duck Feather,Extra Firm Fill,14.40,
45 x 40cm duck feather,CUSTOM INSERTS,CUSTINNERS - 43,Duck Feather,Normal,14.50,
45 x 40cm duck feather,CUSTOM INSERTS,CUSTINNERS - 43,Duck Feather,Firm Fill,15.10,
45 x 40cm duck feather,CUSTOM INSERTS,CUSTINNERS - 43,Duck Feather,Extra Firm Fill,15.70,
45 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 44,Duck Feather,Normal,15.50,
45 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 44,Duck Feather,Firm Fill,16.10,
45 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 44,Duck Feather,Extra Firm Fill,16.70,
45 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 45,Duck Feather,Normal,15.50,
45 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 45,Duck Feather,Firm Fill,16.10,
45 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 45,Duck Feather,Extra Firm Fill,16.70,
45 X 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 46,Duck Feather,Normal,16.65,
45 X 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 46,Duck Feather,Firm Fill,17.25,
45 X 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 46,Duck Feather,Extra Firm Fill,17.85,
45 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 47,Duck Feather,Normal,20.00,
45 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 47,Duck Feather,Firm Fill,20.60,
